20
Cidade de Deus;2002;Crime;"Na favela Cidade de Deus, meninos crescem entre violência e escolhas difíceis; um vira fotógrafo, outro criminoso temido.";Alexandre Rodrigues, Leandro Firmino, Seu Jorge, Alice Braga
Tropa de Elite;2007;Ação;Capitão do BOPE luta contra crime e corrupção no Rio enquanto busca um substituto.;Wagner Moura, André Ramiro, Caio Junqueira
Tropa de Elite 2;2010;Ação;Agora coronel, Nascimento enfrenta milícias e o conluio entre política e polícia.;Wagner Moura, Irandhir Santos, André Mattos
Central do Brasil;1998;Drama;Ex-professora ajuda menino a encontrar o pai no sertão após morte da mãe.;Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra
Bacurau;2019;Faroeste;Povoado do sertão some do mapa e moradores enfrentam forasteiros violentos.;Bárbara Colen, Sônia Braga, Udo Kier, Silvero Pereira
Aquarius;2016;Drama;Viúva resiste à pressão de construtora para deixar seu apartamento à beira-mar.;Sônia Braga, Irandhir Santos, Humberto Carrão, Maeve Jinkings
O Auto da Compadecida;2000;Comédia;Dupla de malandros do sertão se mete em confusões e apela à Compadecida.;Matheus Nachtergaele, Selton Mello, Fernanda Montenegro, Marco Nanini
Carandiru;2003;Drama;Médico conhece histórias de presos antes do massacre no presídio Carandiru.;Rodrigo Santoro, Luiz Carlos Vasconcelos, Wagner Moura, Lázaro Ramos
Que Horas Ela Volta?;2015;Drama;Empregada doméstica vê relações de classe abaladas quando a filha vai morar com seus patrões.;Regina Casé, Camila Márdila, Karine Teles, Michel Joelsas
Hoje Eu Quero Voltar Sozinho;2014;"Romance";Adolescente cego busca independência e descobre o amor com novo colega.;Ghilherme Lobo, Tess Amorim, Fábio Audi
O Som ao Redor;2012;Drama;A chegada de uma milícia de bairro expõe tensões e medos numa rua de classe média do Recife.;Irandhir Santos, Maeve Jinkings, W.J. Solha
Cidade Baixa;2005;Drama;Dois amigos e uma stripper vivem triângulo amoroso em Salvador.;Lázaro Ramos, Wagner Moura, Alice Braga
Estômago;2007;Comédia dramática;Migrante descobre talento culinário que muda sua vida dentro e fora da prisão.;João Miguel, Fabiula Nascimento, Babu Santana
Narradores de Javé;2003;Comédia;Moradores inventam a história da cidade para salvá-la de uma represa.;Matheus Nachtergaele, José Dumont, Nelson Dantas
O Pagador de Promessas;1962;Drama;Homem tenta cumprir promessa ao carregar cruz até igreja e enfrenta burocracia e preconceito.;Leonardo Villar, Glória Menezes, Anselmo Duarte
Macunaíma;1969;Comédia;Anti-herói atravessa o Brasil em sátira antropofágica do modernismo.;Grande Otelo, Paulo José, Dina Sfat
O Menino e o Mundo;2013;Animação;Garoto parte em jornada visual por um mundo industrializado e desigual.;Animação sem falas marcantes
Elis;2016;Biografia;A trajetória de Elis Regina dos primeiros shows ao auge e conflitos pessoais.;Andréia Horta, Caco Ciocler, Gustavo Machado
Lisbela e o Prisioneiro;2003;Comédia romântica;Moça sonhadora se apaixona por malandro carismático no interior de Pernambuco.;Selton Mello, Débora Falabella, Bruno Garcia, Virgínia Cavendish
Marighella;2019;Biografia;A vida do guerrilheiro Carlos Marighella na resistência à ditadura.;Seu Jorge, Adriana Esteves, Bruno Gagliasso, Humberto Carrão
20
Cidade de Deus;Cidade Baixa;ARESTA_ATOR;1
Cidade de Deus;Marighella;ARESTA_ATOR;1
Cidade Baixa;Carandiru;ARESTA_GENERO;2
Cidade Baixa;Carandiru;ARESTA_ATOR;2
Carandiru;Tropa de Elite;ARESTA_ATOR;1
Carandiru;Tropa de Elite 2;ARESTA_ATOR;1
Tropa de Elite;Tropa de Elite 2;ARESTA_GENERO;2
Tropa de Elite;Tropa de Elite 2;ARESTA_ATOR;1
Aquarius;Bacurau;ARESTA_ATOR;3
Aquarius;O Som ao Redor;ARESTA_ATOR;2
Aquarius;Central do Brasil;ARESTA_GENERO;2
Aquarius;Carandiru;ARESTA_GENERO;2
Aquarius;Que Horas Ela Volta?;ARESTA_GENERO;2
Aquarius;O Som ao Redor;ARESTA_GENERO;2
O Som ao Redor;Que Horas Ela Volta?;ARESTA_GENERO;1
O Som ao Redor;Carandiru;ARESTA_GENERO;3
Que Horas Ela Volta?;Carandiru;ARESTA_GENERO;2
Central do Brasil;Carandiru;ARESTA_GENERO;2
Central do Brasil;Que Horas Ela Volta?;ARESTA_GENERO;2
Central do Brasil;O Som ao Redor;ARESTA_GENERO;2

